"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover_rate","mutation_rate","score"
"232",232,41,180,1.41269542132504,0.04022251162678,28,0.646263134852052,0.284165515447967,0.000616142871852376
"376",376,34,94,1.71824825950898,0.336244231276214,29,0.707381861563772,0.0237892856821418,0.000582801974008147
"400",400,26,88,1.37982997535728,0.0416298105381429,12,0.785534701682627,0.345855540945195,0.000570069323712682
"151",151,44,124,1.37493687691167,0.191330025345087,26,0.890134970284998,0.362911791889928,0.000541635811540187
"196",196,26,116,1.25639376374893,0.0245312391780317,19,0.658073856495321,0.0907561436761171,0.000535527143886484
"52",52,12,40,1.70757510345429,0.0456971373409033,14,0.864752979297191,0.229977344162762,0.000479411548224991
"17",17,15,172,1.79665344748646,0.16776560517028,6,0.91916848635301,0.0682814662577584,0.000445405139121385
"268",268,41,166,1.64535991195589,0.333059319108725,4,0.901340959407389,0.0857686444651335,0.000443250584699488
"88",88,18,156,1.26007443638518,0.204012955445796,7,0.970815971307456,0.157911407179199,0.000434721546082981
"65",65,46,158,1.69632369498722,0.102876498084515,17,0.785047995205969,0.118139232625253,0.000428908965088179
"161",161,48,104,1.60930700493045,0.0401668464764953,2,0.610314895305783,0.257573526818305,0.000427962199946948
"168",168,35,92,1.56644195462577,0.0533146094530821,7,0.719236319884658,0.0717666753334925,0.000420844014515838
"280",280,40,158,1.43454993953928,0.111755378823727,6,0.801281080022454,0.361968278652057,0.000419060955511928
"372",372,55,142,1.55262559605762,0.00686124609783292,12,0.738920046016574,0.293410593294539,0.000418990445952912
"85",85,55,130,1.64336388786323,0.0296020984649658,8,0.778133534640074,0.125254274229519,0.000382766145155639
"121",121,35,140,1.73025344065391,0.00376362958922982,9,0.862214941438287,0.40245528134983,0.000373039098222391
"324",324,41,122,1.24874795484357,0.199117386713624,11,0.797484774515033,0.190333161153831,0.000371538381176502
"357",357,40,148,1.78583142324351,0.0844128666445613,24,0.833469027653337,0.441439475398511,0.000369760847113344
"176",176,3,102,1.7826789457351,0.131398144271225,6,0.624327929876745,0.0771712473360822,0.00036079912623785
"312",312,51,168,1.70679181502201,0.304549245722592,10,0.921100282575935,0.268699636799283,0.000354333576265973
"361",361,19,112,1.71780476993881,0.0766835382208228,29,0.999310728069395,0.478577355504967,0.000351070701947635
"112",112,52,130,1.78849035752937,0.00969338864088059,15,0.891362352017313,0.0306584762874991,0.000345839053792004
"200",200,40,122,1.34802010408603,0.143138379883021,17,0.686907740309834,0.159102844889276,0.000335017516604041
"3",3,26,98,1.5905827537179,0.301654540468007,2,0.654533613752574,0.00597478123381734,0.00031598510816432
"82",82,58,122,1.43347915853374,0.23034058669582,26,0.639160417206585,0.233077445067465,0.000313009362652605
"75",75,35,96,1.52239382034168,0.0696731888689101,19,0.67638535676524,0.130783987697214,0.00029966037808341
