"","Group.1","population_size","parent_size","rank","mutation_variation","score"
"827",827,123,158,1.82724987249821,0.0377963349455968,0.00528062776462183
"949",949,161,154,1.69905059202574,0.194275984191336,0.00512719707815689
"998",998,289,134,1.43858693423681,0.264581599854864,0.00511659365726782
"744",744,298,82,1.42460306244902,0.397669974016026,0.00500004286987845
"798",798,107,156,1.48819470312446,0.152925687259994,0.00496827411176339
"664",664,136,126,1.57627495098859,0.0703006958356127,0.00496645158051328
"232",232,280,94,1.96442828793079,0.435874232556671,0.00495781681635811
"328",328,193,230,1.36947352252901,0.460594213334844,0.00493713288787352
"414",414,80,20,1.18423236208037,0.130778682301752,0.00493428584937478
"322",322,239,184,1.82967496197671,0.076554684783332,0.00487156335847167
"760",760,274,220,1.17771698278375,0.0419800595846027,0.0048472218293465
"268",268,232,286,1.93190100579523,0.248074571369216,0.00482047718160353
"570",570,150,270,1.9141456882935,0.44780870678369,0.00473316387543815
"6",6,56,26,1.80065504834056,0.235864635091275,0.00458034348348303
"787",787,216,264,1.24832356139086,0.151597470976412,0.00453304308892662
"624",624,266,266,1.48466152744368,0.149199836305343,0.00443304221305682
"271",271,195,166,1.48473397293128,0.202248509973288,0.00436225425508938
"931",931,272,214,1.12452131696045,0.0817884728312492,0.00432822438770487
"471",471,238,250,1.98045564815402,0.191773652797565,0.00428837649186037
"366",366,207,204,1.24414182989858,0.172425822471268,0.00428117675789724
"68",68,140,2,1.1435064454563,0.151592615759,0.00420156270939171
"301",301,287,224,1.13396788388491,0.460818922030739,0.00418079654049493
"600",600,158,154,1.87434841110371,0.435672132414766,0.00407552413465257
"321",321,284,188,1.00524661969393,0.383819999056868,0.0040648085344612
"262",262,256,180,1.22540317149833,0.455879841349088,0.00402814084649623
"332",332,300,118,1.23494400526397,0.163040851941332,0.00402663754207288
"952",952,222,228,1.51469333842397,0.46840570110362,0.00399688304734815
"202",202,175,108,1.05640197312459,0.426707362988964,0.00393430003701504
"917",917,121,60,1.10436134738848,0.455080765183084,0.00377749219904433
"890",890,152,298,1.29462161567062,0.380082811112516,0.00363720825891803
"177",177,72,14,1.9570245386567,0.0862084088148549,0.00362302679091905
"500",500,298,110,1.92701643705368,0.0530759358080104,0.00359065157206572
"472",472,271,236,1.99692634493113,0.101447868510149,0.00358938369476945
"593",593,229,16,1.09791623381898,0.468197127454914,0.00342605054007639
"626",626,292,214,1.06526391254738,0.10827249137219,0.00338731091857337
"170",170,113,140,1.93841282790527,0.469201226136647,0.00324823569077116
"148",148,287,170,1.1092923944816,0.439697840134613,0.00323664369570517
"151",151,55,40,1.50101579399779,0.458131896913983,0.00317319713496798
"135",135,168,26,1.73093968024477,0.38275703357067,0.0031062642855327
"427",427,294,58,1.05274470266886,0.245575845125131,0.0030483871649911
"380",380,87,144,1.77320376737043,0.217664594994858,0.00296369691865215
"695",695,253,244,1.4443057696335,0.444056217558682,0.00293020985481892
"263",263,280,182,1.84699768363498,0.0225996603257954,0.00285894706794947
"23",23,159,296,1.92857403680682,0.265894875396043,0.0028508580532999
"43",43,157,254,1.74749950040132,0.1630911011016,0.00281913707670273
"16",16,275,96,1.64387085242197,0.303028589114547,0.00281908297503874
"817",817,180,280,1.85880989395082,0.423030707286671,0.00279506093866514
"139",139,228,82,1.39436100865714,0.452429019380361,0.00278766822435848
"74",74,145,140,1.0312222444918,0.128794762422331,0.00276225546027267
"412",412,55,94,1.50090991426259,0.0839544686023146,0.00275033072288539
"156",156,157,208,1.9990396425128,0.465958915185183,0.00273309355505778
"243",243,152,80,1.81592936231755,0.125797498505563,0.0027313525414557
"622",622,158,110,1.52010971284471,0.38735499244649,0.00272845874929898
"932",932,270,144,1.00762905133888,0.0459951531374827,0.0026888042439861
"777",777,295,116,1.21246463316493,0.0432596562895924,0.00268793756917231
"352",352,115,214,1.35843265592121,0.125660245772451,0.00268351755041327
"407",407,179,198,1.40218652528711,0.447982863523066,0.00267758901304102
"257",257,102,194,1.62059058714658,0.269304627086967,0.00265622273812286
"87",87,129,220,1.39910006965511,0.383099988801405,0.00264830130298709
"997",997,182,142,1.88776378473267,0.144008179777302,0.00257918457305361
"252",252,117,38,1.23932885983959,0.0306083218893036,0.00257829605522435
"747",747,116,136,1.30248107248917,0.360430022119544,0.00256546925149949
"350",350,159,2,1.27636418608017,0.263787157367915,0.00255818917183787
"269",269,118,174,1.34283919679001,0.467074809945188,0.0025421029399751
"235",235,133,262,1.57950835721567,0.0651730400277302,0.00253649840276632
"153",153,262,156,1.42830114183016,0.166377592948265,0.00251399457571627
"308",308,162,276,1.63116289931349,0.234567820793018,0.00250818651399105
"749",749,94,114,1.59763123700395,0.158278326736763,0.00250378196882774
"684",684,193,260,1.50586516153999,0.0250063820276409,0.00250237917773303
"57",57,127,212,1.83324807696044,0.412526243017055,0.00248753020120137
"258",258,152,154,1.46246853307821,0.278363709920086,0.00242734310087777
"966",966,62,100,1.0448287401814,0.16745579871349,0.00241856711399041
"474",474,122,74,1.56244831159711,0.282439275295474,0.0024103572681317
"248",248,247,222,1.42081621685065,0.388006277033128,0.00233647046308871
"549",549,82,132,1.55146064516157,0.312747122487053,0.00230543850073635
"759",759,154,80,1.9691179448273,0.239235019194894,0.00229251784190151
"58",58,260,106,1.28395616682246,0.0323384292423725,0.00229092793548629
"429",429,235,206,1.78019024734385,0.196774670272134,0.00228793168365912
"320",320,247,50,1.63070816243999,0.341080033103935,0.00223962645230105
"286",286,263,212,1.29752002679743,0.0951869130367413,0.00223669673735094
"950",950,206,280,1.13200575602241,0.486837214324623,0.00222498643568567
"788",788,276,106,1.82052960852161,0.454850642476231,0.00219613563955721
"934",934,280,238,1.35275184875354,0.156865638447925,0.00219022430638277
"956",956,129,210,1.46421874989755,0.325441139983013,0.00218724752796574
"378",378,186,140,1.83284185640514,0.260170888155699,0.00217673765502882
"901",901,284,230,1.35178442811593,0.168498956016265,0.00216991843321411
"108",108,107,146,1.29531056620181,0.204511994961649,0.00216026515749069
"623",623,251,4,1.06864454667084,0.215027860831469,0.0021366681768492
"532",532,147,162,1.24892435525544,0.307725773658603,0.00213657129658844
"266",266,33,36,1.68872195016593,0.0238129120552912,0.00210788819319381
"840",840,246,206,1.51734293159097,0.171049055759795,0.00206218923751456
"389",389,116,104,1.18211631360464,0.280558707658201,0.00202546195134622
"531",531,187,238,1.86701003578492,0.396401816280559,0.00201822396529536
"307",307,131,248,1.25707824970596,0.0505297456402332,0.00201408235539883
"475",475,296,54,1.45667047100142,0.263633742113598,0.00199793120740176
"172",172,184,122,1.92124581779353,0.319587144884281,0.0019979078863065
"568",568,135,26,1.42796332016587,0.307361955405213,0.00197081950663059
"53",53,193,252,1.10334153030999,0.364867891417816,0.00196370478997166
"785",785,212,122,1.81732383137569,0.267660886980593,0.00195908698893235
"731",731,279,242,1.46728975977749,0.273622494307347,0.00192786880622135
"860",860,235,240,1.82480470789596,0.34976483869832,0.00192685953705086
"294",294,83,16,1.84671112289652,0.358884701505303,0.0019113088232716
"290",290,264,96,1.42021997855045,0.433424625312909,0.0018987259400142
"20",20,187,110,1.5927251027897,0.147526490967721,0.00189728299763809
"790",790,280,212,1.22426358261146,0.114440180244856,0.00188818404989019
"227",227,260,300,1.73235711897723,0.0755773728014901,0.0018342099321018
"877",877,163,204,1.24228111468256,0.307549471734092,0.00180345389449441
"489",489,180,196,1.11458240449429,0.138643231941387,0.00178747780886736
"510",510,194,168,1.86927638668567,0.31765781075228,0.00176752240583035
"79",79,210,268,1.88830467546359,0.274822994484566,0.00175765190624138
"925",925,286,144,1.68683479330502,0.0401427519973367,0.00175717530940819
"738",738,232,128,1.91653433907777,0.356627363478765,0.00175692452324868
