"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover","score"
"39",39,71,288,1.05397397698835,0.36627302900888,8,0.971603816142306,0.000485278332949018
"73",73,85,184,1.54935882962309,0.186371194547974,22,0.229593256255612,0.00047406395349411
"9",9,71,172,1.50975271011703,0.467837871634401,2,0.374825865030289,0.000455844740262219
"138",138,99,270,1.74000805988908,0.0956112018320709,29,0.700879466254264,0.000429203829381014
"197",197,24,182,1.22723304363899,0.396860929322429,31,0.358788194367662,0.000424561383650502
"95",95,117,62,1.12974711204879,0.018516100011766,27,0.611776488833129,0.000377995922202725
"118",118,70,184,1.84496647375636,0.189513296820223,5,0.380471827462316,0.000370969393994858
"11",11,139,194,1.16297980514355,0.138204819289967,15,0.31516245403327,0.000368448647801219
"127",127,26,282,1.96308161062188,0.168375313631259,19,0.728914470411837,0.000355444353297313
"16",16,40,222,1.78858955600299,0.105560522060841,3,0.28195865242742,0.000353951179019366
"106",106,39,72,1.52913650171831,0.0426707250298932,3,0.130868810694665,0.00034577766301426
"174",174,139,288,1.02196113811806,0.186668285052292,18,0.89603825379163,0.000331724290243018
"91",91,70,198,1.66386499372311,0.0600437183165923,14,0.427532655419782,0.000311417815593716
"161",161,45,214,1.08207646780647,0.151219877181575,10,0.13549535558559,0.000305907081097421
"124",124,131,56,1.26975559908897,0.224800714640878,1,0.230034443549812,0.0002954991357686
"122",122,16,208,1.88703707023524,0.461829563952051,7,0.121434664353728,0.000274453468379382
"200",200,106,48,1.04643613798544,0.130569575936534,24,0.629410942085087,0.000242495466325826
"81",81,114,106,1.65163088589907,0.138691731612198,13,0.835045848740265,0.000209244311086244
"70",70,18,176,1.73858789145015,0.0616313391365111,5,0.0425530269276351,0.000205015820292678
"154",154,41,96,1.02863285574131,0.105448497575708,23,0.32997370348312,0.000189534528558244
"56",56,59,86,1.43389735533856,0.109802928054705,14,0.1531785747502,0.000186256233301533
"143",143,34,96,1.27559617022052,0.124304826720618,1,0.564369053347036,0.00016024751459864
"151",151,91,70,1.66480379970744,0.0169961234787479,26,0.926635480951518,0.000141618725447386
"35",35,114,140,1.40780211845413,0.013746130396612,13,0.785158925224096,0.000128337257561579
"144",144,125,252,1.61683106166311,0.0426397686824203,13,0.687118073692545,0.00012489817340956
"10",10,27,220,1.27866215258837,0.341448278632015,19,0.672155935550109,0.000122092195267605
"5",5,136,100,1.15903589432128,0.0147938780719414,18,0.302183800842613,0.000120692236540655
"33",33,20,196,1.21772463666275,0.256796053028665,32,0.98741397424601,0.000110708612694157
"2",2,70,86,1.69432662334293,0.0264230257598683,31,0.698434566147625,0.000107219896896609
"196",196,149,36,1.1993708696682,0.116685271612369,14,0.847514687571675,0.000104862673803626
"55",55,60,54,1.81315199565142,0.0025890696560964,8,0.409140129340813,0.000104274064862764
"190",190,65,190,1.89265332254581,0.126358671230264,27,0.783020007656887,0.000100816806383324
"134",134,139,278,1.69042332237586,0.201470024650916,7,0.771698342403397,7.72973343092879e-05
"28",28,39,264,1.38809219421819,0.0225687616039068,7,0.292186049511656,6.91327949493228e-05
"184",184,12,206,1.45404163445346,0.201217910624109,21,0.460634757298976,6.43544975601658e-05
"44",44,82,84,1.97965736570768,0.0908150274772197,13,0.196071029640734,5.54783441279544e-05
"8",8,111,246,1.62133379187435,0.171408589696512,22,0.484507281100377,4.82569518200135e-05
"153",153,94,256,1.86063669831492,0.0453197440365329,29,0.511439631693065,4.00782361425676e-05
"159",159,32,186,1.43733910145238,0.111136391060427,25,0.332720848266035,2.99123291881699e-05
"79",79,62,120,1.82535840617493,0.0974620521301404,10,0.505291713634506,2.97232481746631e-05
"101",101,83,16,1.87222875119187,0.0278676453744993,22,0.878625192679465,2.89904315091771e-05
"80",80,70,92,1.62689834041521,0.0800321652786806,25,0.514132553013042,2.84959388649687e-05
"1",1,87,150,1.80099223158322,0.0797875380376354,29,0.132356530288234,1.8865912038837e-05
"83",83,78,178,1.17580454959534,0.204598042415455,21,0.0513653173111379,1.78556338122584e-05
"125",125,58,202,1.16774920118041,0.114771370892413,31,0.746722785755992,1.51022582123981e-05
"105",105,11,242,1.50796262966469,0.00544345786329359,1,0.531197919044644,1.08602771391671e-05
"58",58,23,208,1.7637879292015,0.155544369714335,4,0.344331179745495,4.98040417720853e-06
