"","Group.1","population_size","parent_size","rank","mutation_variation","mating","crossover_rate","mutation_rate","sigmaShare","alphaShare","score"
"399",399,80,476,1.27887356467545,0.143439410626888,22,0.751804507151246,0.320074401446618,0.689729786943644,2,4.49201890557511
"26",26,14,36,1.74350842083804,0.164642917644233,11,0.700449250359088,0.192520611686632,1.49067982658744,2,4.47604958492125
"33",33,46,422,1.25558952922001,0.217581819184124,9,0.889429940376431,0.286380543606356,1.14974273648113,1,4.44758872459241
"352",352,11,444,1.64673571866006,0.382467565685511,25,0.740397984534502,0.320128456456587,1.32521215407178,2,4.3805483315328
"301",301,91,358,1.22944233552553,0.143560364563018,12,0.881870622560382,0.337628693669103,0.473790653981268,2,4.37004631933165
"320",320,76,412,1.44535604948178,0.145267207082361,20,0.872529823891818,0.269321586703882,1.50443432619795,2,4.36802161850295
"341",341,7,188,1.37262046881951,0.289160221163183,8,0.787616788130254,0.33557766827289,1.93541914969683,1,4.22966222618744
"111",111,39,244,1.24136820095591,0.199913626722991,25,0.825545128900558,0.288833719561808,0.753091219812632,2,4.12809312492957
"193",193,13,56,1.65551851638593,0.366054166015238,18,0.783755031973124,0.108664788655005,1.8724062088877,2,3.96226526558775
"225",225,56,162,1.30434747780673,0.113551373593509,12,0.685210555698723,0.408539284137078,0.698386980686337,1,3.76393013789394
"284",284,9,440,1.53128050267696,0.397827808652073,17,0.956668409425765,0.219978525536135,0.291901370044798,1,3.47481623559944
"163",163,72,224,1.38744461336173,0.330848795175552,7,0.890386659279466,0.0695079910801724,0.787117805797607,1,3.46562080882045
"328",328,102,234,1.32881883471273,0.160257693380117,8,0.631291647348553,0.153621136094444,0.632849625777453,1,3.37062762717293
"148",148,51,160,1.2154399744235,0.202133003808558,6,0.882554438710213,0.128033205983229,0.200054403860122,1,3.18441239563998
"375",375,81,176,1.20278535084799,0.126201181765646,9,0.806845002155751,0.34842761780601,0.909016125835478,2,3.15019354596754
"20",20,66,196,1.39329207055271,0.11158610554412,13,0.864492704067379,0.433249790337868,1.04624947626144,2,3.11248606135745
